title,company,rating,location,salary,summary,description,postcode,city,annual,monthly,weekly,daily,hourly,type,min_salary,max_salary,avg_salary
 engineer,Exactaform Cutting Tools Ltd,2,Coventry CV6 4QJ,0,You will spend 3 months in each area for the first year before selecting your preferred discipline where you will spend your second year as you progress into a…,"We are looking to recruit two University graduates to join our ever-growing company, Exactaform Cutting Tools Ltd.The roles will be based within the Operational department of the business where you will further your career to support the growth of the business. You will be mentored by a senior professional and grow into your chosen technical discipline.About us:Exactaform is a British manufacturer of Polycrystalline Diamond (PCD) cutting tools that is part of global supply chains for the biggest names in the Aerospace (both Commercial and Military), Automotive and Motorsport manufacturing. Suppliers to the engineering giants like BAE, Airbus & Boeing, Redbull F1 and Mercedes F1. Based at the Prologis Park in a custom-built building and boasting 20% growth year on year. To continue this growth, we have an attractive position for two enthusiastic engineering students to join our team.Our programme is designed for graduates who have exceptional business acumen, drive, and ambition to excel.Our organisation and graduate programmes are ideal for those looking to embrace their inner entrepreneur to drive actions, focus on what matters and have an impact on the business.You will have a comprehensive induction period in which you will learn about key functions in our business within the Operations Department where you will be introduced to colleagues and Operational business philosophies.Your placement will provide a valuable insight to our business, products, and customers. This is followed by a series of assignments in the different business Operational functions for up to 3 months each, where you will have the opportunity to take the lead on key challenges and projects, preparing you for your first role as engineer/technician/team and onwards to a future leadership role.The Operational functions that you will be placed in are.Production – manufacturing.Production Control – planning & schedulingQualityResearch & DevelopmentYou will spend 3 months in each area for the first year before selecting your preferred discipline where you will spend your second year as you progress into a professional career.REQUIREMENTSYou will hold a 2:1 Bachelor's degree (or higher) in an Engineering subject. A committed, hardworking and proactive attitude is essential for this position, with an enthusiasm for learning and success. You will be someone who aspires to be a business leader one day and enthused by an operationally orientated graduate programme.We look forward to hearing from you.",CV6 4QJ,Coventry ,0,0,0,0,0,0,0,0,0
 technical support consultant,Oxford Computer Consultants Ltd,,Oxford OX1 2EP,22000 - 32000 ,"Status: Permanent, full-time position.The role encompasses first and second line support which involves dealing with support requests submitted by our…","Status: Permanent, full-time positionHours: 37.5 hours per weekSalary range: £22,000 - £32,000Location: (2-3 days in the office per week)This is a fantastic opportunity to join a busy team in a role that will see you supporting our public-sector products. The role will allow you to get a great grounding in technical support and allow you to use and develop skills in a supportive environment. We are looking for someone who is passionate and serious about developing their career in technical system support.We have several highly successful products which we sell into the public-sector. These products help Local Authorities to manage their contracts, commissioning, finance and quality monitoring. Details of these products can be found here.About the role:The role encompasses first and second line support which involves dealing with support requests submitted by our customers to do with our suite of products. These issues range from application functionality issues, investigating potential bugs or performing investigations so the customer can get the most out of the software. You can expect to always be busy and being challenged technically – no two days are the same!In order to understand our products you will need to be able to upgrade and patch our products –this involves running database scripts and configuring different components and requires great attention to detail.So you can effectively provide support, you will have to perform application testing. New versions of our software are released every month and to ensure we can continue to support our customers in using the software we have to make sure we can use it ourselves! This may include visits to customer sites to demonstrate new features and to assist with customer testing but also re-creating issues when providing support.Essential requirements:Inclination to provide support. A large part of the role is providing guidance to customers on how to use our software so the successful candidate should be eager to support them.Able to write queries in SQL for Microsoft SQL Server. Our products are data-heavy systems so the successful candidate will have to be comfortable with SQL.Technical troubleshooting skills. Problems usually require further investigation and troubleshooting to understand the cause so the solution can be provided. The successful candidate will need to be comfortable with troubleshooting technical issues.Strong communication and interpersonal skills. The successful candidate will be working directly with clients, other support team members and developers.Experience reviewing or writing technical documentation. Acting as the party between customers and developers, the successful candidate will need to be able to review technical documentation and communicate effectively.Desirable experience and skills:Educated to degree level.Experience with reporting tools (eg. Microsoft Access, Business Objects or SQL Reporting Services). We offer several solutions to allow customers to report on our data so experience in one or more of these is desirable. Experience in equivalent reporting system also considered.Able to use advanced formatting in Microsoft Word to perform mail merges. Our products allow customers to use Word to create documents utilizing Word mail merge, so experience of doing this would be positive.Knowledge of Local Government contracts and finance management systems. As the products we support are related to Local Government, any prior knowledge of this sector will be a plus.At OCC, we work in information technology because we enjoy the challenges and we see the positive impact IT has on business and society.Due to the nature of our work with local government clients, please note, we request a DBS check as part of our recruitment process.If you are interested, we’d love to hear from you.Job Types: Full-time, PermanentSalary: £22,000.00-£32,000.00 per yearSchedule:Monday to FridayWork remotely:Temporarily due to COVID-19",OX1 2EP,Oxford ,1,0,0,0,0,10000,22000,32000,27000
 pmo analyst,FNZ,3.2,Edinburgh,0,The Global PMO is responsible for working with the senior leadership team to understand their requirements for measuring the Global Project Portfolio progress…,"Role ProfileThe PMO Analyst works as part of the Global PMO. The Global PMO is responsible for working with the senior leadership team to understand their requirements for measuring the Global Project Portfolio progress and success. This involves: determining the type, frequency and method of data collection; facilitating the collection of project data; collecting data about data quality and timeliness and escalating where appropriate; determining the analytical process to transform the data into useful management information and presenting the management information back to the leadership team to track the performance of the business and guide business decision. The PMO also facilitates and reports adherence to the FNZ Governance processes ensuring robust financial management and control is in place for our project process.The successful candidate will need to be able to work and communicate with people across all our global locations and at all levels of the organisation including senior executives.ResponsibilitiesThe PMO Analyst is responsible for running regular data analysis reports to schedule, setting up projects and releases in our reporting systems and supporting those systems. The PMO Analyst will have primary responsibility for some key areas, but will need to provide cover during absences for other members of the team:Primary ResponsibilitySetting up projects in systems (currently Smartsheet) to facilitate data collection from the project teams.Setting up releases in Jira to facilitate data collection from the project teams including dashboards.Bulk uploads of data into Jira e.g. client tests.Support and Issue resolution in Smartsheet, Jira and Hub Planner.Running scheduled reports and analysis process and distributing to appropriate audiences including productivity analysis, financial reporting, compliance reporting, project metric analysis.Ensuring that the project teams maintain project delivery data covering all current (internal and customer) projects, tracking key project milestones and facilitating regular updates from project and delivery managers via data collection systems e.g. Smartsheet, PPM and Jira.Maintain the company resource plan, facilitating the collection of resource supply and demand data from Project Managers, Development Managers and Resource Managers, ensuring this aligns with HR staff numbers, takes into account project allocations and future requirements. Work with the resource owners to ensure that current and planned staff allocations are reflected in the plan.Provide other FNZ Teams with management information per the reporting timetable e.g. Finance, HR, and the SLTRequired SkillsWe are looking for people with some relevant experience, either in a project delivery environment or a PMO. Our minimum requirements are:Maths or Technology Degree or equivalent;Good knowledge of Excel, including advanced formula use;Knowledge of project management methodologies including Agile preferable;Knowledge of Smartsheet, Microfocus PPM or Jira preferable;Fluent in English;Ability to learn quickly in a dynamic fast-paced industry;Enjoy working as part of a high performance team;Excellent communication skills, confident in dealing with stakeholders including senior executives;Proactive, self-driven approach;High attention to detail;Superior analytical thinking and problem solving abilities;Excellent organizational/administration skills.Completer finisher .Opportunities:Be part of a highly successful, rapidly growing, global business that is leading the delivery of financial services via cloud computing and partners with some of the world’s largest companies;Remuneration and career advancement is based on individual contribution and business impact rather than tenure or seniority;We provide significant financial rewards for high performing individuals; andWe provide global career opportunities for our best employees at any of our Global offices.At FNZ, we recognise that diversity, inclusion, and accessibility are important factors for our success. We embrace the unique perspective and capabilities of our current and future employees, which will help us continue to drive innovation and achieve our business goals. Recruitment decisions at FNZ are made in a non-discriminatory manner where all employees are valued and respected. In particular, we want to ensure accessibility needs are well supported thus, ensuring our recruitment process is fair and equitable for all applicants.Please let us know if there is any support we can provide to ensure FNZ’s recruitment process is fully accessible to you. You can contact us at recruitment2@fnz.co.uk to discuss specific requirements.#LI-JR1",,Edinburgh,0,0,0,0,0,0,0,0,0
 engineer,Michael Page UK,3.5,Liversedge,22000 - 33000 ,"Owens Corning based in Liversedge, West Yorkshire are now looking to find a highly skilled, Motivated Graduate Engineer to join the Manufacturing Leadership…","Graduate Engineer Vacancy with Owens Corning based in Liversedge, West YorkshireAre you a Graduate Engineer looking for a Manufacturing Leadership Program?About Our ClientFrom reinforcing new builds and making them last longer, to enabling cutting-edge technology with composites, for years Owens Corning has been creating materials that make the world a better place. A global leader with 19,000 people in 37 countries, we keep a pulse on the needs of customers around the world. And as a company that has been on the Fortune 500® list for 64 consecutive years, you can be certain our careers are filled with opportunity.OPPORTUNITYOwens Corning based in Liversedge, West Yorkshire are now looking to find a highly skilled, Motivated Graduate Engineer to join the Manufacturing Leadership Program. This role will sit within the Maintenance and Reliability team where the successful candidate will be mentored and developed by seasoned maintenance and engineering professionals.This position will give you the opportunity to participate in a dynamic learning experience while contributing to the company's change agenda which is 'Winning with Our Customers and Growing Our People'. As a program participant you will be encouraged to find innovative ways to create value while consistently improving results.Job DescriptionThe Leadership programs at Owens Corning provide an opportunity for highly skilled and motivated candidates to participate in a dynamic learning experience. Participants complete two years of their program at an Owens Corning manufacturing plant for technical and leadership training and during this time participants will be mentored, developed, trained and challenged by maintenance and engineering professionals.The Successful ApplicantTo apply for this exciting position, you will have a Degree in Mechanical/Electrical Engineering or similar discipline. Candidates are not required to have any industry experience but do need to possess a Willingness to learn and flexibility to travel. If you do have previous relevant internships/co-ops in a manufacturing setting this would also be considered.What's on OfferSalary is highly competitive, £22,000 to £33,000.ContactGlyn DobbQuote job refJN-042021-2563431Phone number+44 114 263 6028",,Liversedge,1,0,0,0,0,10000,22000,33000,27500
 engagement officer (civic action scheme),University of South Wales,3.8,Pontypridd,30046,"This is a full time, fixed term post (x2) for a period of 12 months.Job Types: Full-time, Temporary.Temporarily due to COVID-19.","This is a key role in the successful delivery of the Civic Action Scheme within the University of South Wales, working within the wider Careers & Employability Service.The Civic Action Scheme is being piloted for 12 months at the University of South Wales and the University of Wales Trinity St David. The Scheme will encourage students at both institutions to consider careers in “civically-minded” roles in, for example, the third sector, the arts and culture industry, or the environmental sector by encouraging them to take volunteering roles with these organisations.As community engagement activities, student volunteering schemes, and collaborations with external organisations, have been detrimentally affected by Covid-19, the Civic Action Scheme will allow both institutions to reconnect with civic and community organisations in the South Wales region, while developing new connections through the new strategic partnership.By providing current students with experience of working with civic and cultural organisations and the third sector, the Civic Action Scheme will provide economic support for this sector by creating new jobs and voluntary opportunities. It will also allow us to retain a cohort of skilled workers in Wales which will also contribute to Wales’ economic recovery. Given the impact of COVID-19 on Welsh communities the scheme would place an emphasis on regeneration, would allow us to identify where support is needed, and explore how future engagement with our communities can be undertaken in digital environments.Initially working remotely due to public health requirements, this position is based at the Pontypridd campus of the University of South Wales.This is a full time, fixed term post (x2) for a period of 12 months.For an informal conversation about this post please contact Louise Bright / Matthew.Evans.If you are a successful candidate and this position will be your first professional services role at the University (or you are currently employed by PSS Ltd), you will be employed by Professional and Support Services Limited, a wholly owned subsidiary of the University of South Wales, which provides services to the University and Colleges. If you are an internal professional services candidate, you will be continue to be employed by the University of South Wales.Reference ID: U013918Contract length: 12 monthsJob Types: Full-time, TemporarySalary: £30,046.00 per yearSchedule:Monday to FridayWork remotely:Temporarily due to COVID-19",,Pontypridd,1,0,0,0,0,10000,30046,30046,30046
technology ,CMC Markets,4.1,London,0,"CMC offers an award winning online and mobile trading platform, enabling clients to trade up to 10,000 financial instruments across shares, indices, foreign…","Since launching in 1989, CMC Markets (CMC) has become one of the world's leading online financial trading businesses. CMC is listed on the London Stock Exchanges and serves retail and institutional clients through regulated offices and branches in 13 countries.CMC offers an award winning online and mobile trading platform, enabling clients to trade up to 10,000 financial instruments across shares, indices, foreign currencies, commodities and treasuries through contracts for difference. In Australia, the Group also offers stockbroking services.CMC is committed to recruiting, developing, retaining and motivating exceptional people who are talented, innovative and focused on delivering excellence. We acknowledge that this goes hand in hand with the Group’s ongoing and future success. This is achieved through embedding the Group’s values throughout the workforce as well as offering competitive rewards and benefits.Do you want to work for an exciting leading FTSE 250 fintech? We’re shaping the future of investment by using the latest tech and tools to give our customers the very best trading experience. Here at CMC w e are looking to hire Technology Graduates in our IT Production/Support team. This is a fantastic opportunity to gain exposure across the entire Production department and work with a mentor that has also been through the programme.What do the team do?We provide support across technology at CMC Markets, which includes application and operational support for our award-winning web-based in house developed trading platform.What will you learn?You will have the opportunity to work in different teams across technology production which will give you a rounded view of what we do in the team, You will learn about the market that CMC operates in and what products we offer and have the opportunity to learn and pick up new processes and technologies. Excited to know more? You can start now by signing up to a CMC demo trading account. You can find us here at https://www.cmcmarkets.comOur culture:Our leading-edge technology and the way we work means we’re growing and innovating more quickly than any of our competitors. And to keep growing, we need to add to the talent working across every area of the business.We understand that true innovation requires brilliant ideas, the openness to set them free and the bravery to take a risk. That’s why everybody who works at CMC is encouraged to think big to solve problems for our customers, and that’s why we’re always open to trying new things that will help us improve.We offer a challenging and rewarding working environment, where every employee counts and can make a difference.Who are we looking for?You will have great communication skills and enjoy being part of a team.Degree classification - minimum 2:1You will have excellent organisational and time management skillsGood analytical and problem solving skillsA Keen interest in Tech and financial Services.",,London,0,0,0,0,0,0,0,0,0
 customer relationship officer,Pareto Law,3.5,Leeds,25000 - 30000 ,Our client are experts in enterprise connectivity solutions - they've helped organisations across the country digitally transform and migrate to cloud based…,"Job Title: Graduate Customer Relationship OfficerLocation: LeedsSalary: £25k (up to £30k OTE)Sector: TechnologyThe role: Graduate Customer Relationship OfficerOur client are experts in enterprise connectivity solutions - they've helped organisations across the country digitally transform and migrate to cloud based operations.This is a highly consultative role requiring graduates to possess maturity and fantastic written and verbal communication skills. You’ll be great at ascertaining the needs of various stakeholders both internally and externally; you’ll also be able to communicate the benefits of the service to people of different levels of seniority.Initially you’ll work closely with a Senior Account Manager and as you gain confidence with the company value proposition you’ll naturally progress to being involved in:Develop an understanding of the client business needs and strategiesDevelop and monitor business plans in line with seniorsIdentify key decision makers, attending face to face meetings with clients to conduct presentations, managing account relationshipsProactively engage and manage key stakeholder relationshipsPrepare proposals and collateral to be sent to potential customersAs part of your graduate package you’ll get:Competitive starting salary of £25kPotential OTE £30kMobile phone and laptopFantastic progression opportunitiesHealthcare and pensionCompany HolidaysSocial events/nights outNext Steps:If you require this job specification or to apply in an alternate format please visit the Pareto website.(Please note that due to the high volume of applications we receive we are unable to contact all applicants directly. If you haven’t heard from us within 28 days please consider your application to have been unsuccessful.)",,Leeds,1,0,0,0,0,10000,25000,30000,27500
 software engineer,MRI Software,,Newcastle upon Tyne,0,"Applies defined practices / procedures to design, implement, and support individual software projects.Analyzes and accurately implements functional and non…","MRI are looking for a Software Engineer to join our busy Product Development Team. If you’re looking to kickstart your Developer career- MRI is the place for you!We are looking for someone who is eager to learn, and ready to hit the ground running. We provide full training, we just need the right self-motivated candidate to train… If you think this could be you, we want to hear from you!RESPONSIBILITIES:Applies defined practices / procedures to design, implement, and support individual software projectsAnalyzes and accurately implements functional and non-functional requirementsDesigns, codes, tests and maintains deliverables of low to moderate complexityAuthors or contributes to technical design documentation, release notes, bug fix documentationPerforms and designs testing protocols to ensure that the product is fully testedDelivers production ready code of high quality which satisfies all functional and non-functional requirementsDelivers adjusted and corrected code based on regular peer reviewsMultitasks in a fast paced environment while maintaining integrity, reliability, ethical practices and a professional focus on projects.REQUIREMENTS:No prior experience necessary for this Entry-Level PositionTeam player and understands how own work is important to the team’s successWilling to contribute what it takes to meet deadlines and deliverablesDedicated to continual learning and self-improvement – technical and functionalWilling to take on additional responsibility to ensure team successAbility and eagerness to learn new emerging technical skills that are relevant to MRI Software.BA/BS Degree in Computer Science, Software Engineering or related software engineering experienceExperience with or working knowledge of Microsoft programming technologies including .Net Framework, C# and/or VB.Net, SQL Server, TSQL, MS Visual Studio, IISCompany OverviewMRI Software delivers innovative applications and hosted solutions that free real estate companies to elevate their business. Our flexible technology platform, along with an open and connected ecosystem, allows us to meet the unique needs of real estate businesses, from property-level management and accounting, to investment modelling and analytics for the global commercial and residential markets. With nearly five decades of expertise and insight, we have grown to include offices in across the United States, the United Kingdom, Hong Kong, Singapore, Australia, South Africa, New Zealand, Canada, and India, with over 1800 team members to support our clients and their unique needs!MRI Software is proud to be an Equal Employment Opportunity Employer.",,Newcastle upon Tyne,0,0,0,0,0,0,0,0,0
 software developer,Dovestone Technology Solutions,,Stockport,26000,"This is an ideal position for a recent graduate, bootcamp alumni or someone at the start of their career who is looking to gain a first role in software…","Dovestone Technology Solutions are working in collaboration with a growing organisation in Stockport who are looking for a Junior Software Developer to join their team.This is an ideal position for a recent graduate, bootcamp alumni or someone at the start of their career who is looking to gain a first role in software development.The successful candidate must have a passion for programming, and a basic understanding of C#, MVC and HTML as well Javascript to help manage and improve the current estateTraining and development in this organisation is given paramount importance, with you being able to take Microsoft Courses, paid by the company, as well as a being enrolled onto a structured development plan, as well as mentored by senior members of the teamSalary for this position is up to £26k, in addition to a great benefits package",,Stockport,1,0,0,0,0,10000,26000,26000,26000
 soc analyst,CIVO,,Stevenage,25000 - 250000 ,"Monitor internal and customers’ infrastructure to detect security events and vulnerabilities, by using various security tools, SIEM technologies and other…","As a junior analyst within our SOC team, you will have the exciting opportunity to ensure our clients receive the best possible service whilst protecting their business assets and security.You will help maintain and protect the company’s key business assets from threats and risks by monitoring, detecting, analysing, and responding to security incidents. You will be joining a growing team who are continually striving to out-perform their previous achievements. This is an excellent opportunity to learn from others in your team, as well as taking ownership of projects from beginning to end. In this role you will need to be very flexible in your approach and comfortable in the knowledge that the responsibilities of this role will constantly evolve as the company continues to grow and expand the services provided.PRIMARY RESPONSIBILITIESMonitor internal and customers’ infrastructure to detect security events and vulnerabilities, by using various security tools, SIEM technologies and other security resourcesAnalyse and investigate various security events to validate security incidentsProactive and reactive security incident handling and escalation to the appropriate teamsPerform vulnerability assessments and provide findings with remediation actionsManagement, tuning and optimisation of security tools, following best practices and other performance metricsRespond to customers’ tickets, emails and provide assistance with security-related issues efficiently and effectivelySupport a 24/7 shift patternWORKING HOURSYou will work an average of 38 hours per week, on a rotating shift patter to support 24/7 operation.Shift times are 07:00-15:00, 15:00-23:00, and 23:00-07:00.BULLETPROOF BENEFITS25 days’ annual holidayAn additional day’s annual holiday for your birthdayPrivate medical insuranceSubsidised gym membershipCompany perks platformFrequent team eventsRelaxed working environmentEnhanced pension contributionJob Types: Full-time, PermanentSalary: £25,000.00-£250,000.00 per yearBenefits:Casual dressCompany eventsCompany pensionFlexible scheduleGym membershipLife insuranceOn-site parkingPrivate dental insurancePrivate medical insuranceWellness programmesSchedule:8 hour shiftDay shiftNight shiftWeekendsExperience:Information Security: 1 year (preferred)Work remotely:Temporarily due to COVID-19",,Stevenage,1,0,0,0,0,10000,25000,250000,137500
