,Title,Company,Rating,Location,Salary,Summary,Description,Link
0,Graduate Management Trainee Scheme Band 6 level (annexe 21,Queen Elizabeth Hospital & University Hospital Lew...,3.8,London,"£28,697 - £31,001 a year",Band 6 level (annexe 21.Full time - 37.5 hours per week.On successful completion you will have a role within LGT at a band 7 level and will have experienced…,"Main areaGraduate Management SchemeGradeBand 6 level (annexe 21ContractPermanentHoursFull time - 37.5 hours per weekJob ref197-GRAD2021SiteQueen Elizabeth Hospital & University Hospital LewishamTownLondonSalary£28,697 - £31,001 per annum inclusiveSalary periodYearlyClosing30/06/2021 23:59Lewisham and Greenwich NHS Trust is a community focused provider of local and acute care, providing high quality services to over one million people living across the London boroughs of Lewisham, Greenwich and Bexley.With a turnover of around £700 million, we provide services at Queen Elizabeth Hospital in Woolwich, University Hospital Lewisham and a range of community settings in Lewisham. We also provide some services at Queen Mary’s Hospital in Sidcup.The Trust has 7,000 staff and, in 2020, won a London NHS Parliamentary Award in recognition of a wide range of initiatives to make the organisation a great place to work. The Trust was also a finalist in the 2021 Health Service Journal Awards for this programme, which has succeeded in reducing vacancy rates from a high of 17.5% in 2018 to 8.1% at the time of writing. In addition, the Trust’s staff retention is now in the top five in London, with 89% of staff staying at the organisation, against a median of 81% for peer organisations.Are you a motivated individual, with a desire to improve patient care by becoming an outstanding leader and a key member of our organisation?Lewisham & Greenwich NHS Trust will be offering an internal graduate programme commencing September 2021. Successful recruits will join a 2.5 year Post-Graduate band 6 apprenticeship whilst working as part of the operational management team at Lewisham & Greenwich NHS Trust, learning what it takes to be an outstanding leader. This is a highly applied, blended learning education programme.On successful completion you will have a role within LGT at a band 7 level and will have experienced the following:1 x 10 month operational placements covering all aspects of senior service management in the NHS1 x 10 month operational placements covering all aspects of junior service management in the NHS2 x 5 month agreed corporate placements including areas such as governance, finance or Quality Improvement.The final placement will be agreed with your placement SRO (Senior Responsible Officer). Our schemes will offer you extensive NHS operational experience as well as a thorough understanding of the political, regional and population context.Our vision at is to work together to provide high quality care for every patient, every day. Our staff put patients at the heart of everything they do – there is a genuine commitment to providing the best services we can for the local populationYou will learn the fundamental of being a manager in the NHS at a time when we are faced with huge challenges and exciting opportunities for innovation and change.Entry requirements for Senior Leader Level 7 apprenticeship:A mandatory requirement is evidence of attainment of English and Maths at Level 2 Functional Skills or GCSE Grade C and above2:1 first degree level qualification (or predicted 2:1 grade)3 A levels – Grades A - C or equivalent qualificationDemonstrate management experience and application (from degree and /or other areas)If you are a graduate who wants to work for the NHS and is committed to delivering excellent patient care then we would love to hear from you.We reserve the right to close the post before the stated closing date, please apply early. We do not contact applicants with the outcome of the shortlisting. If you have been shortlisted, you will receive an invite to an assessment day or interview.Applicant requirementsThe postholder will have access to vulnerable people in the course of their normal duties and as such this post is subject to the Rehabilitation of Offenders Act 1974 (Exceptions) Order 1975 (Amendment) (England and Wales) Order 2020 and as such it will be necessary for a submission for Disclosure to be made to the Disclosure and Barring Service to check for any previous criminal convictions.",https://uk.indeed.com/rc/clk?jk=7189cf5348b90c00&fccid=c6ef538c46f012b9&vjs=3
1,Graduate Research & Consultancy Associate – London,Beauhurst,,London,"£30,000 a year",Research & Data Analysis: using a combination of our platform’s extensive data and your own market research to collect and analyze data.,"Salary: £30k OTE - Start Date: ASAPQuick disclaimer: This is not scientific research or management consultancy, but it includes aspects of both. You’ll get to work with clients, conduct research, interpret data and create content - producing an array of important projects for our high-profile clients.If you’re interested in the economy/exciting UK companies and looking for a graduate role that offers both people-facing and independent, project-based work, then this could be perfect for you.The roleWe’re a market-leading tech company that provides data on the fastest-growing companies in the UK (think Monzo and Babylon!). Our Research and Consultancy team uses this data to provide bespoke projects for our clients, helping them to understand, work with and support these exciting businesses.As a ResCon Associate, you’d get to pitch for and create projects for our clients. Your publications and projects would be widely distributed and cover the most cutting-edge topics (many of which you would propose yourself!)If you’re after variety, you’ve come to the right place. Your responsibilities would be extremely broad and could involve visiting an event in the morning, dabbling in data analysis after lunch & writing content in the afternoon.Don’t worry though, we won’t throw you in the deep end! You’ll receive thorough training on absolutely everything you need before getting stuck in.Then, your responsibilities will include:Building relationships: maintaining regular contact with your clients via email, on the phone, and in-person (over many a nice lunch!)Research & Data Analysis: using a combination of our platform’s extensive data and your own market research to collect and analyze dataContent creation: writing beautiful projects that display your findings through diagrams and written content - you’ll learn how to use design software to do this!Pitching: after your first 6 months, you can start proposing projects to clients yourself!Our offerWe're offering a competitive starting salary of £30k (£24k + £6k OTE)We invest a lot in keeping our people happy and healthy! So as well as that, you'll also get:Training: Structured training & regular personal development opportunitiesWellbeing: Coaching, counselling, and virtual yoga/mindfulness sessionsSocials: Drinks every Friday, office parties, company away days, and regular team eventsOptions: Substantial options scheme, so you can share in the growth you help createTalks: Interesting speakers in the officeSnacks: Unlimited supply of fruit, nuts, tea, and coffeeBooks: You can order any relevant books you like or come along to our book club eveningTravel loans: Rail season ticket loan and cycle to work schemeAbout youYou don’t need to have a particular degree subject/experience for this. As long as you are good with people & comfortable interpreting data - we’ll teach you the rest!Ideally, you’ll be:A natural people person: you find it easy to get on with all sorts of people and like the idea of working with lots of different clientsInterested in the economy: you keep up to date on the latest developments already. This will be super helpful when spotting your next opportunity to run a project!Ambitious: you go above and beyond what is asked of you and are excited to develop your own projects & hit targetsAnalytical: you like working with data and can take meaning from the numbers.Creative: you have an eye for what looks visually appealing. This will come in handy when producing eye-catching reports & projects for our clients.About usWe are the market leader for tracking the most exciting companies in the UK. Through a combination of people power and machine learning, our data platform helps over 20 different industries invest in, understand, and partner with start-ups and scale-ups all over the country.Other than the product, the real key to our success is our wonderful culture. Based in the heart of vibrant Brixton, we’re a close-knit group with a range of interests and quirks - from bakers to artists, to beer-brewers to gamers, everyone plays a part in helping to grow our business.Ticking all the boxes?Apply!To apply please submit:Your updated CVA cover letter telling us what excites you about both the role and Beauhurst!Answers to a couple of simple screening questions belowPlease note that applications with no cover letter or a generic cover letter will be automatically rejected.",https://uk.indeed.com/rc/clk?jk=d3d7f981810dc692&fccid=8390a8aeb1c11115&vjs=3
2,Graduate Developer,Sage,3.4,Newcastle upon Tyne,,"Job Description Reporting to the Development Team Manager, the Graduate Developer is responsible for building, enhancing and maintaining applications and/or…","Advert People make Sage great. From our colleagues delivering ground-breaking solutions to the customers who use them: people have helped us grow for more than thirty years, and people are driving our future as a great SaaS company. We’re writing our next chapter. Be part of it!Experience has taught us that when our customers thrive, we thrive. As a team, we always start with what customers need. Through the good… and more challenging times. Innovating at pace so customers can manage their finances, operations and people. Every one of us shapes our culture at Sage - doing what’s right and succeeding together, united by our commitment to each other. We encourage each other to grow in our roles, in our careers and as individuals.Follow us on our social media sites below to join in conversations about career tips, open positions and company news! #lifeatsage #sagecareers. If you would like support with your application (or require any adjustments) please contact us at careers@sage.com for assistance. All qualified applicants will be thoughtfully considered and never discriminated against based on their race, color, age, religion, sexual orientation, gender identity, national origin, disability or veteran status.Job Description Reporting to the Development Team Manager, the Graduate Developer is responsible for building, enhancing and maintaining applications and/or systems for the to enable Sage’s business plans and long-term objectives using the identified architecture.The Graduate Developer’s primary focus will be on gaining the required skills and knowledge to become an effective and productive member of the team and will design, develop and deliver high quality applications and/or systems and services.You will be a natural problem-solver with a curious mind, who has a passion for software development/programming. Taking pride in your work is essential, as is the desire to continuously improve and you mustn’t be afraid to make mistakes, as these are learning opportunities!Key ResponsibilitiesComplete all required training and mentoring sessionsDevelop, deliver, maintain and implement high quality technical solutionsLook to increase both technical ability and domain knowledge through activeparticipation in the project development life cycle.Contribute to the process of documenting technical requirements for data, workflow, logical processes, hardware and operating system environment, interfaces with other systems and/or services, internal and external checks and controls, and outputs.Maintain relevant documentation to describe logic, coding/configuration, testing and changes where applicable.Continuously strive to make improvements to the existing applications and/or systems and services.Ensure all development is completed to the required quality standards.Keep up to date with relevant technology areas.Seek out and act upon feedback from team membersEntry Requirements:A relevant STEM degree or an alternative degree supported by a keen interest in Software Development.Our Graduate Recruitment process:1. Apply online with CV2. Complete screening3. Complete video interview (You will receive a link to complete a video interview within 1 week of applying)4. Attend Assessment Centre (Held August 2021)If successful, you would join our Graduate Programme on 4th October 2021.***Roles available in our Manchester and Newcastle offices***",https://uk.indeed.com/rc/clk?jk=c930bbdd1c276c3f&fccid=848f060296f23fff&vjs=3
3,London - Graduate Programme - Risk Junior Quantitative Analy...,BNP Paribas,3.9,London,,"Community associations, entrepreneurs, SMEs, corporate clients and institutional investors.Realise their personal and professional projects through solutions…","Who we areThe bank for a changing world. BNP Paribas has been recognized as the 2019 World’s Best Bank for CorporateResponsibility by Euromoney magazine. This reflects our commitment to financing the economy in an ethical manner,developing and engaging our people, being an agent for positive impact on society and for combating climatechange. BNP Paribas contributes to the real economy by providing solutions to a wide range of clients: individuals,community associations, entrepreneurs, SMEs, corporate clients and institutional investors. The Group helps themrealise their personal and professional projects through solutions spanning financing, investment, savings andinsurance.BNPP has a significant presence in the UK with a 150-year history. Whilst recognised as a leading European bank,BNP Paribas in fact operates in 73 worldwide countries with around 200,000 employees. With such a diverse set ofbanking coverage (ranging from asset management insurance, retail banking, personal finance, vehicle leasing toinvestment banking) the career opportunities within BNPP are vast, international and attract a diverse staff base.Department OverviewRISK is a fully independent function whose mission is to advise the bank’s top management on risk appetite, to providefast and reliable information about the risk profile to report, to offer high quality risk measurement/quantification andrisk management expertise to the group’s stakeholders as well as to foster risk anticipation.SIGMA is the quantitative modelling team with overall responsibility for market and counterparty credit risk modelswithin BNP Paribas. The team sits within Enterprise Risk Architecture (ERA), which is part of the RISK Function of thegroup. SIGMA is organized in four streams, each responsible for a given asset class (Interest Rate / FX, Credit / Repo,Equity / Commodity) and transversal aspects of risk methodologies (Cross-Product). The team is present in severallocations: London, Paris, Lisbon, Brussels and New York.Job Summary & ResponsibilitiesA diverse and dynamic team, working in SIGMA you should expect: to learn from experienced quantitative risk professionals within a large team with a flat hierarchical structure; to gain experience in quantitative finance modelling and derivative pricing models, including for quantification ofmarket and counterparty risk; to have exposure to different asset classes: interest rates, inflation, foreign exchange, equity, commodities, creditand repos; to develop skills in the design and implementation of quantitative models using various programming languagessuch as C# and Python; to gain awareness and understanding of regulatory requirements for banks, both current and upcoming such asFRTB; to engage within the bank’s Corporate and Social Responsibilities, volunteering and other social network initiatives.Our requirements Strong academic background with a degree in a quantitative discipline such as (but not limited to) mathematics,physics, engineering, or quantitative finance; Good communication skills; Good attention to detail; Good team player; Fluent in English; Responsive and reactive.LOCATION: LondonSALARY: CompetitiveCLOSING DATE: 04/07/2021START DATE: August 2021",https://uk.indeed.com/rc/clk?jk=680886c87cd86714&fccid=1392500f835bba92&vjs=3
4,Graduate Estate Manager,Wilkinson Hardware Stores,3.5,Field Based,,"Field Based - Permanent - Full Time -.Building key business relationships with property advisors, landlords, retailers etc to ensure a value-added approach,…","Graduate Estate ManagerField Based - Permanent - Full Time -Ask any wilko team member about us and the first thing they would mention is the people. Passionate people who encourage, care and respect each other, pulling together to keep wilko a much-loved high-street name by being better every day and ensuring we always inject some fun along the way. We appreciate our team members and the value they add to our business.We are looking for an enthusiastic team member to join our Property team as a Graduate Estate Manager in a field-based role. As our Graduate Estate Manager you’ll support the Estate and Senior Estate Manager in managing our vast portfolio of properties, learning and understanding all aspects of estate management to covering a variety of different property aspects. This is fantastic role to learn a wide ranges of skills in the property sector, build a rewarding career, whilst studying to becoming a accredited member of RICS.Taking huge pride in what you do, your role will involve supporting our vast rent reviews, lease renewals, re-gears, break options, store closures, business rates, CPOs and relocations maximising the best value for the business; with guidance from the team, looking at the portfolio to identify ways to bring forward costs savings that will have a positive impact on the property cost base. Along with:Building key business relationships with property advisors, landlords, retailers etc to ensure a value-added approach, quality and consistency of service delivered.Supporting the audit of key property costs (i.e. rent, rates, service charge and insurance).Managing the property database management - maintain completeness, accuracy, and integrity of data.Partnering and supporting Facilities to make sure all stores comply with statutory and lease obligations through regular inspection and deal with all property management issues arising through non-compliance (e.g. maintenance, dilapidations, legal and planning).Supporting the landlord approval process for tenant works (i.e. signage, refits, dilapidations, party walls etc).Supporting store disposals, sub-lettings, and void space in order to maximize returns and minimize the risk to the business.For this role we need someone who is degree level educated in a relatable subject or equivalent experience, a work placement in property would be advantageous. You'll have a drive to begin a career in property, and be enrolled on the RICS course to become a qualified member. With a confident communication style, can do attitude and the ability to build effective working relationships, both internally and externally. As a field based position this role will involve regular travel to the properties in our portfolio with stays away from home.We know it’s not just about the role but how we can reward you too, so with every role comes a competitive salary, a brilliant rewards scheme, a great pension scheme, a job needs company car, an exceptional array of apprenticeships, wilko WOW flexible benefits (such as great discounts on shopping, days out, holidays, health and fitness and money-saving schemes to cut the costs of childcare), holiday homes and most importantly 20% team member and family discount in store and online.We understand what’s important at work and with us, you can achieve a career with real meaning that puts your energy, ambition and individuality front and centre. With progression opportunities, brilliant training and a great set of benefits, it’s your chance to help shape where our business and your future goes next. We want you to be yourself here at wilko and we welcome applications from everyone and actively seek to build talented diverse teams at our Support Centre, Retail Stores and Distribution Centres. If you’re invited to an interview with us, we can make reasonable adjustments to our interview process according to your needs.",https://uk.indeed.com/rc/clk?jk=6b72dec5526342c3&fccid=1d9c42f353f72a09&vjs=3
5,Graduate Energy Engineer,BIU,3.6,Lytham FY8 2NA,"£25,000 - £30,000 a year",This role would suit someone with a degree in chemical / mechanical/ energy engineering with a genuine passion for learning about the energy industry and…,"BIU is one of the Sunday Times Top 100 companies to work for and as the UK's leading utilities and energy consultancy, we provide energy services to some of the world's largest organisations. We are proud to optimise energy sustainably, reduce carbon effectively and save our clients operational costs. We create meaningful value through collaboration and our #OneBiU culture keep us steadfast in our approach to people and the planet.We currently have an opportunity for a Graduate Energy Engineer to join our Energy & Carbon Team. This is an exciting opportunity to join an established and successful company and become part of the team to drive BIU's development into the next phase of growth. This role would suit someone with a degree in chemical / mechanical/ energy engineering with a genuine passion for learning about the energy industry and understanding large sets of data. A desire to work with senior engineers and stakeholders is required and someone familiar with energy, mass balances and knowledge of dashboarding and Power BI would be an added bonus.You'll be working with our Energy & Carbon Consultants and Analysts, helping our Clients de-carbonise their business and reduce their environmental impact. This role will support our Clients’ transition to net zero and be a fundamental support to the development, co-ordination and delivery of strategic energy and carbon reduction programmes.The Role · Analysis of large energy data sets from fuel and utility bills· Estimation of energy savings and costs· Cost benefit Analysis· Using excel including creation of pivot tables, using v look ups· Analysis of utilities such as boilers, chillers, CHP and other large scale utilities· Building management systems including HVAC, BMS· Researching a range of renewable energy technologies available on the marketplace and assessing them in relation to specific and generic Client needs.· Presenting concepts, findings and proposals to internal audiences· Liaising with suppliers to understand technology capabilities, limitations, costs and subsidiesIn return for your talent and enthusiasm, BIU will provide you with a great team environment and a workday that is challenging and rewarding.BiU has once again been listed as an outstanding place to work (2021), voted and rated by our employees through the independent and adjudicated Best Companies – the company behind the Sunday Times Top 100 workplace rankings. We are also proud holders of the Investors in People Silver award and are committed to putting our people first.Our managers hold monthly 121 meetings with their teams to help them to succeed and support them in learning and developing. We offer flexible working, company pension, subsidised gym membership and physiotherapy treatment, private healthcare, cycle to work scheme and breakfast on Mondays and Fridays, if you're in the office.Job Types: Full-time, PermanentSalary: £25,000.00-£30,000.00 per yearBenefits:Additional leaveBike to work schemeCasual dressChildcareCompany eventsFlexible scheduleFree or subsidised travelGym membershipPrivate medical insuranceSick payWellness programmesWork from homeSchedule:Monday to FridayEducation:Bachelor's (required)Experience:Engineering: 1 year (preferred)Work remotely:Yes",https://uk.indeed.com/company/BIU/jobs/Graduate-Energy-Engineer-a309fc200497685e?fccid=09950ac07985aade&vjs=3
6,Finance Student/Graduate required for a new opportunity,Finance Routes,,London,,We are hoping to offer this role on a long term contract.Analytical and the ability to dive deeper into information presented.,"We are a Finance Career advisory specialising in providing career advice for individuals hoping to embark on careers in Investment banking, Accounting, Private Equity and Venture Capital.We are looking for a finance university student or a recent finance graduate to join our team to conduct thorough research on the finance areas mentioned above, compile a list of compelling questions, conduct telephone interviews and to help us market. We are hoping to offer this role on a long term contract.The ideal person will have the following:Excellent research abilitiesKeen eye for detailAnalytical and the ability to dive deeper into information presentedStrong English speaking and writingConfident on the phoneAbility to work in a timely manner and can adhere to deadlinesWe strongly encourage new ideas and we want to work with someone who can offer new suggestions and goes out of their way to use their initiative in improving processes and completing every assignment successfully.This role would be ideal for a final year university student currently studying finance or a recent finance graduate looking to gain additional skills to make them more marketable in the workplace. If successful, this role will be on a rolling basis.Please note this role will be considered as a freelance contract role and a full time salary will not be paid. This role is to give a Finance student or graduate the opportunity to develop their skills and gain valuable experience.Please apply if the above is suitableThank you",https://uk.indeed.com/rc/clk?jk=0e4d6247bb55bc86&fccid=dd616958bd9ddc12&vjs=3
7,Graduate Business Analyst,IQLIK LTD,,Manchester M12 6JH,"£27,000 - £35,000 a year","Acquire, document and maintain an in-depth knowledge of existing business processes and identify areas for potential process improvement.","IQLIK is looking for recent graduates or post-graduates who are passionate about technology to work as Business Analysts. You will be working along with the development team to ensure that business requirements are fully understood, clearly documented and that the delivered solution meets the expected requirements . This exciting opportunity comes with comprehensive opportunities for additional learning and development and assess to new technologies.Roles and Responsibilities: Acquire, document and maintain an in-depth knowledge of existing business processes and identify areas for potential process improvement.Gathering requirement using interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, task and workflow analysisProactively collaborate with external and internal customers to analyse information needs and functional requirements and deliver artefacts such as Functional requirements, Business Requirements Document, Use Cases, User Stories Screen and Interface designsReview and evaluate business benefit cases and requests for change, producing feasibility reports that establish the justification for any future project work.Facilitate workshops, interviews and meetings with business stakeholders and their delegates to capture and document the existing business process and desired changes, using standard process modelling techniques.Document existing and design new business processes using standard process modelling techniques. Identify gaps and opportunities for change and asses business impact.Review and assess any business requirements to ensure these do not adversely impact end-to-end processes.Analyze, specify and validate business requirements translating these into clear functional and non-functional business requirements using standard templates and tools.To be the conduit between solution design and business stakeholders to ensure that they understand how the requirements will be met.Create the traceability matrix to track the delivery, testing and business sign-off of all requirements.Identify and validate user acceptance criteria, working from business requirements, solution design and test strategies, creating user acceptance test scripts to an appropriate level.Manage and coordinate the user acceptance test phase, ensuring that entry and exit criteria are defined and met before sign-off.Support the operational handover process, identifying service levels, key performance indicators and standard operating processes, creating support models and updating the application support portfolio.Essential Skills and Experiences: Business/Systems Analyst - utilizing an array of techniques, such as workshops, to gather and elicit requirements.Strong knowledge of the SDLC processExcellent communication and Stakeholder Management skills - with the ability to build solid relationships, influence and network well.Experience of end-to-end solution development in a commercial environment and scoping analysis activities, with a proven track record of meeting deadlines within budget.Experience within an Agile environment.Qualifications: Bachelor’s Degree or Postgraduate degreeApplication Start Date: 22/06/2021Application deadline: 22/07/2021Job Types: Full-time, PermanentSalary: £27,000.00-£35,000.00 per yearSchedule:8 hour shiftWork remotely:Temporarily due to COVID-19",https://uk.indeed.com/company/IQLIK-LTD/jobs/Graduate-Business-Analyst-839f5cb98ad0de83?fccid=c50232b6810234b2&vjs=3
8,Graduate Research Analyst - Analysis - Global locations,CRU,4.3,London,,"Finding, evaluating, and organising data and information that supports the formation of published analysis for major industrial and financial customers.","The OpportunityAre you a Masters Graduate?We are interested in hearing from Economics, Mining, Geology, Engineering, Mathematics, Environmental Studies, Science and Journalism graduatesCRU leads in the field of global commodity market analysis and business intelligence. Our successful Analysis Division is looking for talented individuals who are ready to kick-start their professional career in the world of commodities and join us as a Research Analyst.The Analysis Division is organised into four commodity teams – Aluminium, Base Metals, Fertilizers and Steel, with Economics providing thought leadership, and production support and inputs across the teams. We have a global presence, with offices in Sydney, Singapore, Shanghai, Beijing, London, Mumbai, Santiago, and Pittsburgh.Our Research Analysts are guided and coached by experienced Analysts in the market. You will have the opportunity to thrive at the heart of a dynamic, global business intelligence company, with the opportunity to develop a wide array of transferable skills, such as data analysis, market research, preparing presentations as well as the opportunity to meet clients.The industries we work in are vibrant and truly global: a hurricane in Australia, a strike in Peru, or a construction boom in China can influence markets across the world. Our work relies on the best market research, data, and insights because our multi-national customers - leading companies in the commodity space - rely on us to inform and support crucial decisions they need to make in fast-moving and volatile markets. This means we need the best teams, data, and research insights to support this.Some examples of how you will be contributing are:Finding, evaluating, and organising data and information that supports the formation of published analysis for major industrial and financial customersImproving systems and processes to allow for more effective and efficient data-led insight generationApplying your academic knowledge and experience and working with others to help find meaning from diverse information sources and typesVerifying or improving data that forms the evidence base for key conclusions, forecasts, or expert opinionsPrepare high quality reports and presentations for internal and external stakeholdersContribute to discussion and debate on the challenges faced by companies and possible solutionsBecome familiar with CRU's research methodology, data systems, and forecasting methodologiesPerform detailed analysis, and interpretation of data and statistics to support analysis and forecastsEssential Criteria What kind of person might you be?Someone who thrives working in a teamSomeone who is intellectually curious, eager to learn and push forward their own boundariesSomeone who is organised, motivated, dedicated and likes to deliver on tasksAn enthusiastic team player with a positive and collaborative attitudeExcellent spoken and written communication skillsAnalytical mind-set and a strong aptitude for working with dataOrganised and delivery focused with a passion for quality and innovationA desire to provide value to our clientsHighly proficient in MS ExcelStrong proficiency in MS Word, PowerPoint, and OutlookFluent written and spoken EnglishAdditional languages would be a bonus – Especially Mandarin, Spanish, Russian and PortugueseCollaborative – With the ability to communicate and work effectively with teams across our global officesWhat qualifications must you have?Candidates should be degree educated – Both Undergraduate and Masters. Degrees should be from a top British university, or equivalent level qualification from a leading university outside of the UK. The degree should be in subjects such as Economics, Science, Engineering, Mining, Geology, Mathematics, Environmental Studies, Science and JournalismDesirable Criteria What will you gain from working with us?The ability to work with and learn from analysts in a highly respected market analysis and business intelligence businessEngaging in real work that makes a meaningful difference to the outcomes for external customersThe guidance and support of both a dedicated line manager and project leads in the business who will ensure you are properly briefed and supportedThe opportunity to work with supportive and like-minded colleagues in a truly global organisationThe opportunity to contribute to analysis output",https://uk.indeed.com/rc/clk?jk=dfbc6b0dc4cfa183&fccid=cd411fa2d6591efd&vjs=3
9,Trainee Echocardiographer,Sheffield Teaching Hospitals NHS Foundation Trust,3.5,Sheffield S5 7AU,"£31,365 - £37,890 a year",This is part of the Echocardiography Training Programme developed by the National School of Healthcare Science and funded by Health Education England.,"Here at Sheffield Teaching Hospitals we have an exciting opportunity for an 18-month fixed term full-time training post in Echocardiography. This is part of the Echocardiography Training Programme developed by the National School of Healthcare Science and funded by Health Education England.Successful candidates will be trained to BSE accreditation level 2 and will be awarded a Post-graduate Certificate in Clinical Echocardiography.Our mission is to improve the health/quality of life for our patients by building an organisation that develops and invests in the individuals that work here and this can only be achieved with the recruitment of the right people.To undertake non-invasive investigations and proceduresUndertake the NSHCS echocardiography training programme and work towards completion of the British Society of Echocardiography accreditationThe post holder will follow a structured training plan to meet both with clearly defined targets, expectations and regular assessments in order to complete British Society of Accreditation.To provide a safe, efficient and effective Cardiology service to our patientsSheffield Teaching Hospitals NHS Foundation Trust is one of the UK’s busiest and most successful NHS foundation trusts. We provide a full range of local hospital and community services for people in Sheffield, as well as specialist care for patients from further afield, including cancer, spinal cord injuries, renal and cardiothoracic services. In addition to community health services, the Trust comprises five of Yorkshire’s best known teaching hospitals.This vacancy is advertised on a fixed term contract basis for a period of 18 months due to the post being externally funded. The fixed term contract status of the post holder will be reviewed in accordance with the Trust's legal obligations regarding fixed term contracts taking into consideration the ongoing source of the external funding and the requirement for the post to be maintained.",https://uk.indeed.com/rc/clk?jk=c1900f123bfae72f&fccid=bd1d31afccd0ca21&vjs=3
